stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding                                                                                               ,download_date
05387,Levinco,43.1511077,-5.6002937,2                                                                                                                 ,2026-07-10
05389,Collanzo,43.1241004,-5.5661544,2                                                                                                                ,2026-07-10
05403,Tremañes-Langreo,43.5285439,-5.6948684,2                                                                                                        ,2026-07-10
05405,Sotiello,43.5072386,-5.7265416,2                                                                                                                ,2026-07-10
05407,Pinzales,43.4865408,-5.7197038,2                                                                                                                ,2026-07-10
05409,Aguda,43.4655199,-5.7260209,2                                                                                                                   ,2026-07-10
05410,Xixún,43.3714523,-5.6938682,2                                                                                                                   ,2026-07-10
05411,La Florida,43.4347588,-5.7099268,2                                                                                                              ,2026-07-10
05412,Puente Buracos,43.4480478,-5.7172664,2                                                                                                          ,2026-07-10
05413,Noreña,43.3939778,-5.7036269,2                                                                                                                  ,2026-07-10
05415,Bendición,43.3634748,-5.6805850,2                                                                                                               ,2026-07-10
05416,Valdesoto,43.3583496,-5.6581467,2                                                                                                               ,2026-07-10
05417,Carbayín,43.3507215,-5.6343348,2                                                                                                                ,2026-07-10
05420,Curuxona,43.3398152,-5.6304762,2                                                                                                                ,2026-07-10
05421,Tuilla,43.3281506,-5.6430775,2                                                                                                                  ,2026-07-10
05426,La Felguera N. Langreo-N. Llangréu,43.305459,-5.688896,2                                                                                        ,2026-07-10
05427,Sama los Llerones,43.296706,-5.680359,2                                                                                                         ,2026-07-10
05431,Ciaño Escobio,43.2907242,-5.6678998,2                                                                                                           ,2026-07-10
05432,San Vicente,43.2891417,-5.6529333,2                                                                                                             ,2026-07-10
05433,El Entrego-La Oscura,43.2895101,-5.6408099,2                                                                                                    ,2026-07-10
05435,Carrocera,43.2877335,-5.6263765,2                                                                                                               ,2026-07-10
05436,San Martín,43.2783764,-5.6152919,2                                                                                                              ,2026-07-10
05437,Sotrondio,43.2759255,-5.6048900,2                                                                                                               ,2026-07-10
05439,Blimea,43.2708812,-5.5903311,2                                                                                                                  ,2026-07-10
05441,Barredos,43.2598889,-5.5749934,2                                                                                                                ,2026-07-10
05443,Laviana,43.2508161,-5.5646688,2                                                                                                                 ,2026-07-10
05451,Bilbao la Concordia,43.2601901,-2.9263839,2                                                                                                     ,2026-07-10
05455,Basurto Hospital,43.2597699,-2.9538267,2                                                                                                        ,2026-07-10
05457,Zorrotza Zorrozgoiti,43.2740398,-2.9740116,2                                                                                                    ,2026-07-10
05459,Santa Águeda,43.2618570,-2.9730218,2                                                                                                            ,2026-07-10
05460,Kastrexana,43.2554758,-2.9721445,2                                                                                                              ,2026-07-10
05461,Irauregui,43.2484180,-2.9900734,2                                                                                                               ,2026-07-10
05463,Zaramillo,43.2332894,-3.0159040,2                                                                                                               ,2026-07-10
05465,La Quadra,43.2227230,-3.0249848,2                                                                                                               ,2026-07-10
05467,Sodupe,43.2020301,-3.0505170,2                                                                                                                  ,2026-07-10
05469,Artxube,43.2009930,-3.0715031,2                                                                                                                 ,2026-07-10
05470,Lambarri,43.2060733,-3.0825107,2                                                                                                                ,2026-07-10
05471,Güeñes,43.2090276,-3.0952113,2                                                                                                                  ,2026-07-10
05473,Aranguren,43.2104561,-3.1083990,2                                                                                                               ,2026-07-10
05474,Aranguren-Apeadero,43.2103517,-3.1140505,2                                                                                                      ,2026-07-10
05475,Zalla,43.2129096,-3.1333368,2                                                                                                                   ,2026-07-10
05477,Colegio,43.2112674,-3.1381409,2                                                                                                                 ,2026-07-10
05479,Ibarra,43.2039590,-3.1448388,2                                                                                                                  ,2026-07-10
05481,La Herrera,43.2034521,-3.1705687,2                                                                                                              ,2026-07-10
05483,Balmaseda,43.1963551,-3.1899562,2                                                                                                               ,2026-07-10
05484,Mimetiz,43.2158138,-3.1312555,1                                                                                                                 ,2026-07-10
05485,La Calzada,43.1901154,-3.1974062,2                                                                                                              ,2026-07-10
05487,Traslaviña,43.23329,-3.198304,2                                                                                                                 ,2026-07-10
05489,Artzentales,43.2355083,-3.2133583,2                                                                                                             ,2026-07-10
05493,Villaverde de Trucios,43.2412800,-3.2505400,2                                                                                                   ,2026-07-10
05497,Karrantza,43.238854,-3.357827,2                                                                                                                 ,2026-07-10
05504,Parque Principado,43.3865865,-5.8087971,2                                                                                                       ,2026-07-10
05505,Colloto,43.3795086,-5.7923660,2                                                                                                                 ,2026-07-10
05507,Meres,43.3809885,-5.7487209,2                                                                                                                   ,2026-07-10
05508,Fonciello,43.3817779,-5.7297194,2                                                                                                               ,2026-07-10
05509,El Berrón,43.3827383,-5.7026774,2                                                                                                               ,2026-07-10
05511,La Carrera de Siero,43.3869214,-5.6753462,2                                                                                                     ,2026-07-10
05513,Pola de Siero,43.3881527,-5.6647718,2                                                                                                           ,2026-07-10
05515,Los Corros,43.3768432,-5.6013769,2                                                                                                              ,2026-07-10
05517,Lieres,43.3805830,-5.5826229,2                                                                                                                  ,2026-07-10
05521,El Remedio,43.3750793,-5.5462394,2                                                                                                              ,2026-07-10
05522,Llames,43.3687796,-5.5252404,2                                                                                                                  ,2026-07-10
05523,Nava,43.3611878,-5.5090986,2                                                                                                                    ,2026-07-10
05525,Fuente Santa de Nava,43.3555699,-5.4783790,2                                                                                                    ,2026-07-10
05527,Ceceda,43.3562226,-5.4511094,2                                                                                                                  ,2026-07-10
05529,Carancos,43.3555692,-5.4344422,2                                                                                                                ,2026-07-10
05531,Pintueles,43.3599234,-5.3841316,2                                                                                                               ,2026-07-10
05533,Infiesto,43.3517868,-5.3692019,2                                                                                                                ,2026-07-10
05534,Infiesto Apeadero,43.3440407,-5.3606414,2                                                                                                       ,2026-07-10
05535,Villamayor,43.3631000,-5.3028500,2                                                                                                              ,2026-07-10
05537,Sebares,43.3623600,-5.2574000,2                                                                                                                 ,2026-07-10
05539,Soto de Dueñas,43.3583000,-5.2268900,2                                                                                                          ,2026-07-10
05541,Ozanes,43.368395,-5.185191,2                                                                                                                    ,2026-07-10
05542,Policlínico,43.3786220,-5.1860300,2                                                                                                             ,2026-07-10
05543,Arriondas,43.387513,-5.188258,2                                                                                                                 ,2026-07-10
05545,Fuentes,43.401443,-5.143117,2                                                                                                                   ,2026-07-10
