route_id,route_short_name,route_long_name,route_type,route_color,route_text_color                                                                     ,download_date
20T0042C7  ,C7  ,                                        -                                        ,2,BFD34D,FFFFFF                                    ,2025-04-06
20T0043C7  ,C7  ,                                        -                                        ,2,EB7806,FFFFFF                                    ,2025-04-06
20T0044C7  ,C7  ,                                        -                                        ,2,EB7806,FFFFFF                                    ,2025-04-06
20T0045C6  ,C6  ,                                        -                                        ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0046C6  ,C6  ,                                        -                                        ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0047C7  ,C7  ,                                        -                                        ,2,EB7806,FFFFFF                                    ,2025-04-06
20T0048C7  ,C7  ,                                        -                                        ,2,EB7806,FFFFFF                                    ,2025-04-06
20T0049C6  ,C6  ,                                        -                                        ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0050C6  ,C6  ,                                        -                                        ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0051C6  ,C6  ,                                        -                                        ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0052C6  ,C6  ,                                        -                                        ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0053C6  ,C6  ,                                        -                                        ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0054C6  ,C6  ,                                        -                                        ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0055C6  ,C6  ,                                        -                                        ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0056C6  ,C6  ,                                        -                                        ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0057C8  ,C8  ,                                        -                                        ,2,FDC02C,FFFFFF                                    ,2025-04-06
20T0058C8  ,C8  ,                                        -                                        ,2,FDC02C,FFFFFF                                    ,2025-04-06
20T0059C8  ,C8  ,                                        -                                        ,2,FDC02C,FFFFFF                                    ,2025-04-06
20T0060C8  ,C8  ,                                        -                                        ,2,FDC02C,FFFFFF                                    ,2025-04-06
20T0061C8  ,C8  ,                                        -                                        ,2,FDC02C,FFFFFF                                    ,2025-04-06
20T0062C8  ,C8  ,                                        -                                        ,2,FDC02C,FFFFFF                                    ,2025-04-06
20T0063C8  ,C8  ,                                        -                                        ,2,FDC02C,FFFFFF                                    ,2025-04-06
20T0064C8  ,C8  ,                                        -                                        ,2,FDC02C,FFFFFF                                    ,2025-04-06
20T0065C6  ,C6  ,                                        -                                        ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0066C6  ,C6  ,                                        -                                        ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0067C4  ,C4  ,                                        -                                        ,2,8E2182,FFFFFF                                    ,2025-04-06
20T0068C4  ,C4  ,                                        -                                        ,2,8E2182,FFFFFF                                    ,2025-04-06
20T0069C4  ,C4  ,                                        -                                        ,2,8E2182,FFFFFF                                    ,2025-04-06
20T0070C4  ,C4  ,                                        -                                        ,2,8E2182,FFFFFF                                    ,2025-04-06
20T0071C4  ,C4  ,                                        -                                        ,2,8E2182,FFFFFF                                    ,2025-04-06
20T0072C4  ,C4  ,                                        -                                        ,2,8E2182,FFFFFF                                    ,2025-04-06
20T0073C5  ,C5  ,                                        -                                        ,2,BFD34D,FFFFFF                                    ,2025-04-06
20T0074C5  ,C5  ,                                        -                                        ,2,BFD34D,FFFFFF                                    ,2025-04-06
20T0075C7  ,C7  ,                                        -                                        ,2,EB7806,FFFFFF                                    ,2025-04-06
20T0076C7  ,C7  ,                                        -                                        ,2,EB7806,FFFFFF                                    ,2025-04-06
20T0077C7  ,C7  ,                                        -                                        ,2,EB7806,FFFFFF                                    ,2025-04-06
20T0078C7  ,C7  ,                                        -                                        ,2,EB7806,FFFFFF                                    ,2025-04-06
20T0079C6  ,C6  ,                                        -                                        ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0080C6  ,C6  ,                                        -                                        ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0081C6  ,C6  ,                                        -                                        ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0082C6  ,C6  ,                                        -                                        ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0083C8  ,C8  ,                                        -                                        ,2,FDC02C,FFFFFF                                    ,2025-04-06
20T0084C8  ,C8  ,                                        -                                        ,2,FDC02C,FFFFFF                                    ,2025-04-06
20T0085C8  ,C8  ,                                        -                                        ,2,FDC02C,FFFFFF                                    ,2025-04-06
20T0086C8  ,C8  ,                                        -                                        ,2,FDC02C,FFFFFF                                    ,2025-04-06
20T0087C8  ,C8  ,                                        -                                        ,2,FDC02C,FFFFFF                                    ,2025-04-06
20T0088C8  ,C8  ,                                        -                                        ,2,FDC02C,FFFFFF                                    ,2025-04-06
20T0089C7  ,C7  ,                                        -                                        ,2,EB7806,FFFFFF                                    ,2025-04-06
20T0090C7  ,C7  ,                                        -                                        ,2,EB7806,FFFFFF                                    ,2025-04-06
20T0091C6  ,C6  ,                                        -                                        ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0092C6  ,C6  ,                                        -                                        ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0093C5  ,C5  ,                                        -                                        ,2,BFD34D,FFFFFF                                    ,2025-04-06
20T0094C5  ,C5  ,                                        -                                        ,2,BFD34D,FFFFFF                                    ,2025-04-06
30T0001C1  ,C1  ,Lora del Rio                            -Lebrija                                 ,2,4C90C3,FFFFFF                                    ,2025-04-06
30T0002C1  ,C1  ,Lebrija                                 -Lora del Rio                            ,2,4C90C3,FFFFFF                                    ,2025-04-06
30T0003C2  ,C2  ,Santa Justa                             -Cartuja                                 ,2,067B34,FFFFFF                                    ,2025-04-06
30T0004C2  ,C2  ,Cartuja                                 -Santa Justa                             ,2,067B34,FFFFFF                                    ,2025-04-06
30T0005C3  ,C3  ,Santa Justa                             -Cazalla-Constantina                     ,2,E4242D,FFFFFF                                    ,2025-04-06
30T0006C3  ,C3  ,Cazalla-Constantina                     -Santa Justa                             ,2,E4242D,FFFFFF                                    ,2025-04-06
30T0007C4  ,C4  ,Santa Justa                             -Santa Justa                             ,2,8E2182,FFFFFF                                    ,2025-04-06
30T0009C5  ,C5  ,Jardines de Hercules                    -Benacazon                               ,2,073588,FFFFFF                                    ,2025-04-06
30T0010C5  ,C5  ,Benacazon                               -Jardines de Hercules                    ,2,073588,FFFFFF                                    ,2025-04-06
30T0011C3  ,C3  ,Santa Justa                             -Cazalla-Constantina                     ,2,E4242D,FFFFFF                                    ,2025-04-06
