service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               ,download_date
6058D,0,0,0,0,0,0,1,20250817,20250817                                                                                                                 ,2025-08-03
6059L,1,0,0,0,0,0,0,20250818,20250818                                                                                                                 ,2025-08-03
6060M,0,1,0,0,0,0,0,20250819,20250819                                                                                                                 ,2025-08-03
6061X,0,0,1,0,0,0,0,20250820,20250820                                                                                                                 ,2025-08-03
6062J,0,0,0,1,0,0,0,20250821,20250821                                                                                                                 ,2025-08-03
6063V,0,0,0,0,1,0,0,20250822,20250822                                                                                                                 ,2025-08-03
6064S,0,0,0,0,0,1,0,20250823,20250823                                                                                                                 ,2025-08-03
6065D,0,0,0,0,0,0,1,20250824,20250824                                                                                                                 ,2025-08-03
6066L,1,0,0,0,0,0,0,20250825,20250825                                                                                                                 ,2025-08-03
6067M,0,1,0,0,0,0,0,20250826,20250826                                                                                                                 ,2025-08-03
6068X,0,0,1,0,0,0,0,20250827,20250827                                                                                                                 ,2025-08-03
6069J,0,0,0,1,0,0,0,20250828,20250828                                                                                                                 ,2025-08-03
6070V,0,0,0,0,1,0,0,20250829,20250829                                                                                                                 ,2025-08-03
6071S,0,0,0,0,0,1,0,20250830,20250830                                                                                                                 ,2025-08-03
6142V,0,0,0,0,1,0,0,20250801,20250801                                                                                                                 ,2025-08-03
6143S,0,0,0,0,0,1,0,20250802,20250802                                                                                                                 ,2025-08-03
6144D,0,0,0,0,0,0,1,20250803,20250803                                                                                                                 ,2025-08-03
6145L,1,0,0,0,0,0,0,20250804,20250804                                                                                                                 ,2025-08-03
6146M,0,1,0,0,0,0,0,20250805,20250805                                                                                                                 ,2025-08-03
6147X,0,0,1,0,0,0,0,20250806,20250806                                                                                                                 ,2025-08-03
6148J,0,0,0,1,0,0,0,20250807,20250807                                                                                                                 ,2025-08-03
6149V,0,0,0,0,1,0,0,20250808,20250808                                                                                                                 ,2025-08-03
6150S,0,0,0,0,0,1,0,20250809,20250809                                                                                                                 ,2025-08-03
6151D,0,0,0,0,0,0,1,20250810,20250810                                                                                                                 ,2025-08-03
6152L,1,0,0,0,0,0,0,20250811,20250811                                                                                                                 ,2025-08-03
